,missing_glove,missing_cn,missing_wn
deba,1,1,1
overbite,1,1,1
dentures,1,1,0
mutt,1,1,0
cootie,1,1,0
ceremony,1,0,0
burps,1,1,0
nyame,1,1,1
throwup,1,1,1
injoy,1,1,1
aaaaaaa,1,1,1
woaa,1,1,1
fuc,1,1,1
retake,1,1,0
trig,1,1,0
sowhat,1,1,1
attetion,1,1,1
reimburse,1,1,0
hiit,1,1,1
theview,1,1,1
badchoice,1,1,1
justbeinghonest,1,1,1
norubber,1,1,1
footballs,1,1,0
referees,1,1,0
scratchers,1,1,0
sinking,1,1,0
allowin,1,1,1
jiggling,1,1,0
measuring,1,1,0
tilt,1,1,0
looooooooooooooove,1,1,1
toting,1,0,0
chale,1,1,1
motivates,1,1,0
happended,1,1,1
caause,1,1,1
behold,1,0,0
offy,1,1,1
fuuuck,1,1,1
bittys,1,1,1
makeout,1,1,1
shag,1,1,0
ewwy,1,1,1
eliminate,1,1,0
regulation,1,0,0
shiiiiiiiit,1,1,1
cuddie,1,1,1
storagewars,1,1,1
shees,1,1,1
broski,1,0,1
fosho,1,1,1
hump,1,1,0
suuuuure,1,1,1
stereotype,1,1,0
ckus,1,1,1
downs,1,1,0
ngomong,1,1,1
gymnast,1,1,1
wordstoliveby,1,1,1
weightroom,1,1,1
agitator,1,0,0
gamewinner,1,1,1
snooze,1,0,0
naahh,1,1,1
okokok,1,1,1
inhale,1,1,0
tanggung,1,1,1
hulking,1,0,0
dixk,1,1,1
thoughtt,1,1,1
belived,1,1,1
hypebeasts,1,1,1
purdue,1,1,1
kkay,1,1,1
preoccupy,1,1,1
shava,1,1,1
freebandz,1,1,1
phrased,1,1,0
defining,1,1,0
lineman,1,1,0
whatta,1,0,1
delegate,1,1,0
redsox,1,1,1
hispanos,1,1,1
kickit,1,1,1
counsel,1,1,0
ass.n,1,1,1
bwhahahaha,1,1,1
ayay,1,1,1
stater,1,1,1
goodthing,1,1,1
tcot,1,1,1
clemson,1,1,1
daaaam,1,1,1
peprally,1,1,1
weakling,1,1,0
candle,1,1,0
keberhasilan,1,1,1
truena,1,1,1
bookshelf,1,1,1
brickyard,1,1,0
waiit,1,1,1
dunce,1,1,0
ooooooooo,1,1,1
uoy,1,1,1
weakass,1,1,1
organizers,1,0,0
fbe,1,1,1
bullseye,1,0,1
ultrabar,1,1,1
knocks,1,1,0
nnnnnn,1,1,1
sikee,1,1,1
iightt,1,1,1
drunker,1,1,0
proceed,1,1,0
biiish,1,1,1
forsuree,1,1,1
gamecocks,1,1,0
unles,1,1,1
tightin,1,1,1
pickk,1,1,1
exactlyy,1,1,1
yezzir,1,1,1
holdon,1,1,1
toeing,1,1,0
icanadmit,1,1,1
turnip,1,1,0
foda,1,1,1
spammed,1,1,1
chocolate,1,1,0
sent,1,1,0
mando,1,1,1
khadijah,1,1,1
spam,1,1,0
l'app,1,1,1
meer,1,1,1
seguindo,1,1,1
inboxes,1,1,1
curd,1,1,1
yvonne,1,0,1
monks,1,1,0
profiles,1,0,0
lola,1,1,1
femme,1,1,1
depuis,1,1,1
manques,1,1,1
ans,1,1,0
puta,1,1,1
negra,1,1,1
belum,1,1,1
fakes,1,0,0
leve,1,1,1
alan,1,1,1
granola,1,1,1
jasa,1,1,1
hodgy,1,1,1
sued,1,1,0
teena,1,1,1
password,1,1,0
prime,1,1,0
chloe,1,1,1
kik,1,1,1
texting,1,1,1
victor,1,1,0
sidetracked,1,0,0
twitts,1,1,1
oran,1,1,0
adam,1,1,0
stato,1,1,1
dekken,1,1,1
zebra,1,1,1
webbie,1,0,1
violet,1,1,0
ni,1,1,0
dora,1,1,1
note,1,1,0
leche,1,1,1
piercing,1,1,0
grey,1,0,0
baring,1,1,0
celana,1,1,1
ideal,1,1,0
enamorado,1,1,1
high,1,1,0
vitamin,1,1,1
ik,1,1,1
subscribe,1,0,0
family,1,0,0
look,1,0,0
roaming,1,1,0
zana,1,1,1
cuisse,1,1,1
saud,1,1,1
gb,1,1,0
revealed,1,1,0
otras,1,1,1
eternas,1,1,1
brightside,1,1,1
bugs,1,1,0
chinese,1,1,0
oxfords,1,1,0
siz,1,1,1
myra,1,1,1
sleeve,1,1,0
beedy,1,1,1
dog,1,1,0
shaee,1,1,1
unique,1,1,0
redownloaded,1,1,1
dahil,1,1,1
udh,1,1,1
obrigado,1,1,1
kittie,1,1,1
hollywood,1,1,0
crammed,1,0,0
airlines,1,1,0
contents,1,1,0
laa,1,1,1
kray,1,1,1
stay,1,0,0
creppy,1,1,1
mubarak,1,0,0
pp,1,1,1
l,1,1,0
curiosity,1,0,0
lol,1,1,1
dri,1,1,1
sy,1,1,1
daripada,1,1,1
fruits,1,1,0
le,1,1,0
josephine,1,0,1
wack,1,1,1
-----,1,1,1
bitch,1,1,0
semua,1,1,1
haim,1,1,1
alize,1,1,1
rae,1,1,1
madonna,1,1,0
request,1,1,0
beyounce,1,1,1
maliyah,1,1,1
shantel,1,1,1
officially,1,0,0
unveils,1,1,0
lippies,1,1,1
qirls,1,1,1
invaded,1,1,0
crashed,1,0,0
cayute,1,1,1
spry,1,1,0
diaw,1,1,1
respond,1,1,0
overstreet,1,1,1
random,1,1,1
read,1,1,0
daus,1,1,1
adf,1,1,1
swag,1,1,0
shown,1,1,0
child,1,1,0
killer,1,0,0
newest,1,1,0
einn,1,1,1
oder,1,1,0
frenchie,1,1,1
alopecia,1,1,1
quilly,1,1,1
quala,1,1,1
juggler,1,1,1
sparks,1,1,0
at&amp;t,1,1,1
deelishis,1,1,1
bulimic,1,1,1
sickly,1,1,0
nosy,1,1,0
cudi,1,1,1
quarles,1,1,1
spivey,1,1,1
monts,1,1,1
mths,1,1,1
fanna,1,1,1
allison,1,1,1
alec,1,1,1
zizi,1,1,1
carlito,1,1,1
dedicated,1,0,0
shakayla,1,1,1
diced,1,1,0
erky,1,1,1
laron,1,1,1
cof,1,1,1
niggahss,1,1,1
za,1,1,1
twittering,1,0,0
becon,1,1,1
conan,1,1,1
emmit,1,1,1
falk,1,1,1
reedy,1,1,0
tims,1,1,1
dounuts,1,1,1
ngn,1,1,1
kwn,1,1,1
shaine,1,1,1
dorothy,1,1,1
shakey,1,1,1
nss,1,1,0
dial,1,1,0
buat,1,1,1
uninterested,1,0,1
headphoness,1,1,0
fuller,1,1,0
malign,1,1,0
a.f,1,1,1
secretes,1,1,0
bride,1,1,0
savannah,1,1,0
denee,1,1,1
anecdotes,1,1,0
baja,1,1,1
fallen,1,1,0
dildo,1,0,1
meechie,1,1,1
goiin,1,1,1
s'appelle,1,1,1
grandit,1,1,1
braz,1,1,1
badass,1,1,1
carding,1,1,0
streaming,1,1,0
television,1,1,0
ah,1,1,1
ahahahaha,1,1,1
rudee,1,1,1
atw,1,1,1
causes,1,1,0
seemin,1,1,1
wierd,1,1,1
vari,1,1,1
responses,1,1,0
leia,1,1,1
anika,1,1,1
mobster,1,1,0
loya,1,1,1
girlfriends,1,0,0
marshmallows,1,1,0
cocaine,1,1,0
ckool,1,1,1
stephy,1,1,1
poppie,1,1,1
av,1,1,0
kun,1,1,1
chapelle,1,1,1
lyte,1,1,1
hurm,1,1,1
guarded,1,1,0
taliah,1,1,1
poppys,1,1,0
opname,1,1,1
wig,1,1,0
mader,1,1,0
logs,1,1,0
convicted,1,0,0
mods,1,1,0
wheezing,1,1,0
wars,1,0,0
fiina,1,1,1
different,1,1,0
chernobyl,1,1,0
vga,1,0,1
buttonn,1,1,1
mazing,1,1,1
nobles,1,1,0
bland,1,1,0
io,1,1,0
lei,1,0,0
jonjon,1,1,1
niani,1,1,1
furniture,1,1,0
bakery,1,0,0
rusher,1,1,1
rocks,1,0,0
heavily,1,0,0
internationally,1,1,1
customized,1,1,0
fckas,1,1,1
bole,1,1,0
drumsticks,1,1,0
thrives,1,1,0
saf,1,1,1
excusas,1,1,1
craazy,1,1,1
stimulation,1,1,0
madam,1,1,0
piles,1,1,0
snaptu,1,1,1
chano,1,1,1
chance,1,1,0
coin,1,1,0
pullovers,1,1,0
garfunkel,1,1,1
argentina,1,1,0
wass,1,1,0
ihm,1,1,1
meerah,1,1,1
shxxt,1,1,1
flexxn,1,1,1
getaways,1,1,0
dma,1,1,1
phillis,1,1,1
racism,1,1,0
homosexuals,1,1,0
shaad,1,1,1
thrift,1,1,0
coronation,1,1,0
declining,1,1,0
sining,1,1,0
buen,1,1,1
marries,1,1,0
fiancee,1,0,0
payment,1,1,0
address,1,1,0
reservation,1,1,0
engulf,1,0,0
otd,1,1,1
candis,1,1,1
callis,1,1,1
scrambler,1,1,0
bids,1,1,0
mugg,1,1,1
pictur,1,1,1
godmom,1,1,1
bestf,1,1,1
loadin,1,1,1
explains,1,1,0
gingers,1,1,0
breed,1,1,0
clay,1,1,0
ie,1,1,0
oe,1,1,1
munchers,1,1,0
hormones,1,1,0
zoomin,1,1,1
aligned,1,1,0
sketch,1,1,0
boyfwend,1,1,1
tweeps,1,0,1
idgi,1,1,1
bodie,1,1,1
outcasted,1,1,1
againe,1,1,1
enuf,1,1,1
frnd,1,1,1
impatiently,1,1,1
dowg,1,1,1
gtav,1,1,1
sponsored,1,0,0
gran,1,1,0
listens,1,1,0
coocoo,1,1,1
ladygaga,1,1,1
melani,1,1,1
attendant,1,1,0
wl,1,1,1
blunted,1,1,0
vibin,1,1,1
hives,1,1,0
rep,1,1,0
legos,1,1,0
stuggling,1,1,1
khols,1,1,1
hgh,1,1,1
clocking,1,1,0
chargin,1,1,1
superior,1,1,0
local,1,0,0
hotcakes,1,1,0
ooff,1,1,1
geeente,1,1,1
bezel,1,1,1
turin,1,1,0
securities,1,1,0
bogues,1,1,1
rhb,1,1,1
randomness,1,1,0
leesh,1,1,1
textbook,1,1,0
buggin,1,1,1
paper.li,1,1,1
wrath,1,1,0
sideburns,1,1,0
denzell,1,1,1
trife,1,1,1
itook,1,1,1
plzzz,1,1,1
moco,1,1,1
activity,1,1,0
map,1,1,0
biker,1,1,1
slur,1,1,0
lisent,1,1,1
sibling,1,1,0
counselor,1,1,0
rabbi,1,1,0
truckloads,1,1,1
sizzla,1,1,1
kin,1,1,0
refil,1,1,1
gesus,1,1,1
lilsis,1,1,1
swipes,1,1,0
boyboy,1,1,1
oysters,1,1,0
cantaloupe,1,1,0
digits,1,1,0
champagne,1,1,0
spook,1,1,0
manny,1,1,1
thisty,1,1,1
edith,1,1,1
talker,1,1,0
coops,1,1,0
twatch,1,1,1
problematic,1,1,0
eone,1,1,1
maywood,1,1,1
veg,1,1,0
forca,1,1,1
heer,1,1,1
weirdest,1,1,0
posse,1,1,0
ciroc,1,1,1
saloon,1,1,0
jackass,1,1,0
maximal,1,1,0
appalled,1,1,0
conversion,1,0,0
tryda,1,1,1
fancy,1,1,0
frisky,1,1,0
riet,1,1,1
holiest,1,1,0
shitt,1,1,1
cybercrime,1,1,1
allergy,1,1,0
beebe,1,1,1
kenedy,1,1,1
pained,1,1,0
bessemer,1,1,0
takeaway,1,1,0
stresssed,1,1,0
trued,1,1,0
evolve,1,1,0
southwest,1,1,0
ront,1,1,1
miramar,1,1,1
obviously,1,1,0
freaken,1,1,1
whimpers,1,1,0
hoolie,1,1,1
avocado,1,0,0
oven,1,1,1
twiggers,1,1,1
religion,1,1,0
wispers,1,1,1
tashae,1,1,1
eveybody,1,1,1
brining,1,1,0
unkle,1,1,1
hatenn,1,1,1
quotation,1,1,0
scrapp,1,1,1
peple,1,1,1
upu,1,1,1
meaan,1,1,1
define,1,1,0
inhumane,1,0,1
staging,1,0,0
melz,1,1,1
razz,1,1,0
vows,1,1,0
dubb,1,1,1
littered,1,1,0
sparkly,1,1,0
fanatic,1,1,0
starvin,1,1,1
kiya,1,1,1
coffins,1,1,0
neeeda,1,1,1
dimond,1,1,1
pine,1,1,0
chestnut,1,1,0
tenor,1,1,0
nuckles,1,1,1
idin,1,1,1
laya,1,1,1
dosing,1,1,0
jollys,1,1,0
lumped,1,1,0
cawl,1,0,1
companies,1,1,0
vsop,1,1,1
thaanks,1,1,1
granby,1,1,1
herre,1,1,1
vacationing,1,1,0
carmichael,1,1,0
sota,1,1,1
pamphlet,1,1,0
negative,1,1,0
flatty,1,1,1
bro,1,1,1
bouh,1,1,1
untag,1,1,1
goht,1,1,1
bohannon,1,1,1
nighttime,1,1,0
bil,1,1,1
wrist,1,1,0
infomercial,1,1,0
veas,1,1,1
gesture,1,1,0
faulty,1,1,0
cecil,1,1,1
hannukah,1,1,0
dissers,1,1,1
scurred,1,1,1
embrassing,1,1,1
rugby,1,1,0
nippy,1,0,0
viable,1,1,0
tables,1,1,0
specials,1,1,0
bussin,1,1,1
ragging,1,1,0
brasi,1,1,1
kools,1,1,1
cookiez,1,1,1
saddens,1,1,0
evol,1,1,1
threatin,1,1,1
sneakdiss,1,1,1
sadface,1,1,1
alrede,1,1,1
occur,1,0,0
traversing,1,1,0
fagin,1,1,0
bother,1,1,0
onmw,1,1,1
kofi,1,1,1
dickeaters,1,1,1
youts,1,1,1
nimble,1,0,0
rusted,1,1,0
thickems,1,1,1
toot,1,1,0
lalalalalalalalalalalalala,1,1,1
creates,1,0,0
happpy,1,1,1
naee,1,1,1
ccc,1,1,0
nocked,1,1,0
shoed,1,0,0
therm,1,1,1
aisles,1,0,0
overflowing,1,0,0
idc,1,1,1
leonard,1,1,0
ginn,1,1,1
antibacterial,1,1,0
hooking,1,1,0
freel,1,1,1
collinsville,1,1,1
shiga,1,1,1
intervention,1,1,0
vendetta,1,1,0
whidd,1,1,1
bbydaddy,1,1,1
announcement,1,1,0
rookies,1,0,0
performers,1,1,0
inebriated,1,1,0
durin,1,1,1
speaker,1,1,0
decides,1,1,0
sherman,1,1,0
finest,1,1,0
absolute,1,1,0
gripping,1,1,0
yuhr,1,1,1
preeetty,1,1,1
bsa,1,0,1
identical,1,1,0
voided,1,1,0
bette,1,1,1
itsonlyright,1,1,1
theen,1,1,1
skip,1,0,0
wolftyla,1,1,1
jumpstreet,1,1,1
benchwarmers,1,1,1
lithonia,1,1,1
rollingg,1,1,1
lifer,1,1,1
teef,1,1,1
dhatt,1,1,1
loader,1,0,0
fair,1,1,0
newlyweds,1,1,0
refrigerators,1,1,0
fractions,1,1,0
choises,1,1,1
politics,1,1,0
cosmetic,1,1,0
caste,1,1,1
invented,1,1,0
kickers,1,0,0
lokk,1,1,1
cruse,1,1,1
enriching,1,1,0
offshore,1,1,0
hitta,1,1,1
mutes,1,1,0
peaceful,1,1,0
redownload,1,1,1
whurr,1,1,1
parkdale,1,1,1
secured,1,0,0
prejudice,1,0,0
pulln,1,1,1
kendricklamar,1,1,1
misguide,1,1,0
ikey,1,1,1
elmoo,1,1,1
sand,1,1,0
noones,1,1,1
jury,1,1,0
overanalyzing,1,1,1
jamani,1,1,1
hvin,1,1,1
spendn,1,1,1
eastwick,1,1,1
l'appellent,1,1,1
dobt,1,1,1
donn,1,1,1
outgrew,1,1,0
llhatl,1,1,1
greysanatomy,1,1,1
rinds,1,1,0
dislocation,1,1,0
feds,1,0,0
trendsetting,1,1,0
fram,1,1,1
dsu,1,1,1
evaluating,1,1,0
forecasting,1,1,0
focusing,1,1,0
yankee,1,1,0
untamed,1,1,0
rees,1,1,1
geegee,1,1,1
disappoints,1,1,0
yune,1,1,1
beachwood,1,1,1
imprint,1,1,0
crosses,1,1,0
sinks,1,1,0
thumbs,1,1,0
myshit,1,1,1
guppies,1,1,0
accompany,1,1,0
ondaa,1,1,1
picc,1,1,1
yaah,1,1,1
papah,1,1,1
jodan,1,1,1
manhood,1,1,0
remarks,1,1,0
feeder,1,1,0
sumthen,1,1,1
sleeo,1,1,1
statistic,1,1,1
imgone,1,1,1
agnostic,1,1,0
dwntown,1,1,1
witchoo,1,1,1
duh,1,1,1
inward,1,1,0
dookie,1,1,1
cloths,1,1,0
penitentiary,1,1,0
espically,1,1,1
thaws,1,1,0
snodgrass,1,1,1
barly,1,1,1
redhanded,1,1,1
crayz,1,1,1
weaker,1,1,0
muggers,1,1,0
murphys,1,1,0
morethan,1,1,1
begger,1,1,1
scorned,1,1,0
drafted,1,1,0
grillz,1,1,1
nees,1,1,1
hsve,1,1,1
gawwd,1,1,1
canyon,1,0,0
greenway,1,1,0
nifty,1,1,0
outofit,1,1,1
ritte,1,1,1
kmal,1,1,1
shaid,1,1,1
skydiving,1,1,0
happ,1,1,1
megafest,1,1,1
tonite,1,1,1
shrugg,1,1,1
womenn,1,1,1
quic,1,1,1
burr,1,1,0
thaats,1,1,1
reparations,1,0,0
buf,1,1,1
taket,1,1,1
gook,1,0,0
doddle,1,1,1
thereof,1,1,0
endured,1,1,0
guides,1,1,0
practices,1,1,0
osha,1,1,0
thangz,1,1,1
inherit,1,1,1
cakepnya,1,1,1
desired,1,1,0
silents,1,1,0
halfa,1,1,1
rop,1,1,1
ruinin,1,1,1
dynamicduo,1,1,1
dull,1,1,0
swea,1,1,1
hxt,1,0,1
memphis,1,1,0
goddamnit,1,1,1
spoons,1,0,0
didn,1,1,1
representin,1,1,1
saay,1,1,1
adventurous,1,1,0
studen,1,1,1
igetannoyedwhenpeople,1,1,1
looped,1,1,0
heatt,1,1,1
shaaawty,1,1,1
goddamit,1,1,1
woohoo,1,1,1
educateyourself,1,1,1
eeeeen,1,1,1
jesuspiece,1,1,1
brine,1,0,0
intuition,1,1,0
findd,1,1,1
onreplay,1,1,1
milwaukee,1,0,0
vt,1,1,0
doss,1,1,0
intersects,1,0,0
cashmoney,1,1,1
rebellion,1,1,0
coddle,1,1,0
historic,1,1,0
lifr,1,1,1
probelm,1,1,1
roadtrips,1,1,1
untying,1,1,0
bettter,1,1,1
thrown,1,1,0
heady,1,0,0
urselves,1,1,1
jugde,1,1,1
xactly,1,1,1
proposal,1,1,0
muhhfuckin,1,1,1
goddamm,1,1,1
bullcrap,1,1,1
mysong,1,1,1
mattered,1,1,0
drawling,1,1,0
movahs,1,1,1
nwo,1,1,1
kaaaay,1,1,1
afterwork,1,1,1
dildos,1,1,0
balee,1,1,1
condone,1,1,0
stressin,1,1,1
bonneville,1,1,1
extremes,1,1,0
gald,1,1,1
yee,1,1,1
aih,1,1,1
establish,1,1,0
corrupting,1,1,0
iknew,1,1,1
kuliahan,1,1,1
cedar,1,1,0
problemz,1,1,1
harda,1,1,1
danville,1,1,1
pumpum,1,1,1
erwhere,1,1,1
hatiin,1,1,1
shruglife,1,1,1
bdubbs,1,1,1
yeaah,1,1,1
gracious,1,1,0
hustled,1,1,0
lifelong,1,1,0
loserr,1,1,1
assasins,1,1,1
daamnn,1,1,1
horniest,1,1,0
greaaat,1,1,1
therein,1,1,0
ilu,1,1,1
tehe,1,1,1
storms,1,1,0
cany,1,1,1
bpl,1,1,1
ckum,1,1,1
grw,1,1,1
whines,1,1,0
deers,1,1,0
estimating,1,1,0
treadmills,1,1,0
breakdowns,1,1,0
ownership,1,1,0
pledge,1,1,0
lightrail,1,1,1
loosing,1,1,0
rockcity,1,1,1
qta,1,1,1
satuday,1,1,1
dox,1,1,1
strength,1,1,0
shaqtin,1,1,1
dakia,1,1,1
naws,1,1,1
ooonn,1,1,1
drool,1,1,0
mwuah,1,1,1
ayeer,1,1,1
upheld,1,1,0
blowss,1,1,0
buuuut,1,1,1
wanne,1,1,1
vandross,1,1,1
jugar,1,1,1
icnt,1,1,1
weneva,1,1,1
swimming,1,1,0
scaf,1,1,1
mutted,1,1,1
appeals,1,1,0
granting,1,1,0
lawful,1,0,0
potentials,1,1,0
boyden,1,1,1
whnever,1,1,1
kove,1,1,1
becauae,1,1,1
riggle,1,1,1
retrospect,1,1,0
carshow,1,1,1
pumped,1,1,0
goggle,1,1,0
stry,1,1,1
loaf,1,1,0
gonk,1,1,1
dentis,1,1,1
countering,1,1,0
ukno,1,1,1
badhabit,1,1,1
wewh,1,1,1
debates,1,1,0
naht,1,1,1
ovf,1,1,1
olympic,1,1,0
detrimental,1,0,0
shiiiiiit,1,1,1
dookey,1,1,1
dukey,1,1,1
assness,1,1,1
canals,1,1,0
stnd,1,1,1
somethi,1,1,1
organization,1,1,0
gawwwwd,1,1,1
truefacts,1,1,1
agrue,1,1,1
firstdayofschoolthoughts,1,1,1
obsessions,1,1,0
lossing,1,1,1
pussssssy,1,1,1
preposterous,1,1,0
smother,1,1,0
softie,1,1,0
yoyo,1,1,1
imperative,1,1,0
gratifying,1,0,0
echarnos,1,1,1
jiv,1,1,1
enjoi,1,1,1
keurig,1,1,1
sqaud,1,1,1
tunne,1,1,1
igotcha,1,1,1
ihope,1,1,1
brokeback,1,1,1
bumboclaat,1,1,1
naav,1,1,1
armour,1,1,0
aaand,1,1,1
elevate,1,1,0
sicklerville,1,1,1
frankford,1,1,1
pinners,1,1,0
vaccum,1,1,1
yankees,1,1,0
dayyum,1,1,1
ohokay,1,1,1
elaborate,1,1,0
douglass,1,1,0
peopleschoiceawards,1,1,1
dramaqueen,1,1,1
truedat,1,1,1
blount,1,1,1
yed,1,1,1
prally,1,1,1
wooooooh,1,1,1
limiting,1,1,0
fugg,1,1,1
fuccn,1,1,1
sumtymz,1,1,1
congrats,1,1,1
vcu,1,1,1
ecu,1,0,1
dasssit,1,1,1
win,1,0,0
winners,1,1,0
inservice,1,1,1
offs,1,1,0
yourselves,1,0,1
frontlines,1,1,1
riide,1,1,1
imitator,1,1,0
chore,1,1,0
odour,1,1,0
eeeeww,1,1,1
hatechu,1,1,1
coarse,1,1,0
separates,1,1,0
fuqk,1,1,1
ikik,1,1,1
fcuks,1,1,1
shudup,1,1,1
butseriously,1,1,1
goofball,1,1,0
llmfao,1,1,1
cheel,1,1,1
finallyrich,1,1,1
squaaaaad,1,1,1
lmmao,1,1,1
knock,1,1,0
disrespects,1,1,0
clinch,1,1,0
inning,1,1,0
scrong,1,1,1
pebb,1,1,1
fhito,1,1,1
biness,1,1,0
opelika,1,1,1
misinterpret,1,1,0
golfing,1,1,0
likewise,1,1,0
summon,1,1,0
paralegal,1,0,0
shove,1,0,0
bosom,1,1,0
santee,1,1,0
mytime,1,1,1
nwl,1,1,1
invoke,1,1,0
riiiide,1,1,1
ifkr,1,1,1
iite,1,1,1
loveandwar,1,1,1
freesosa,1,1,1
fuxkk,1,1,1
yeeeea,1,1,1
pickle,1,0,0
aiite,1,1,1
pours,1,1,0
htown,1,1,1
dodged,1,1,0
bisya,1,1,1
buckeye,1,1,0
damnright,1,1,1
lmbao,1,1,1
yhr,1,1,1
shuuut,1,1,1
sparing,1,1,0
accordance,1,0,0
circumstance,1,1,0
cleft,1,1,0
pacernation,1,1,1
yady,1,1,1
disappointments,1,1,0
ayyyyyye,1,1,1
bestfri,1,1,1
strut,1,1,0
ahmad,1,1,1
kardashian,1,1,1
aggrevated,1,1,1
via,1,1,1
kk,1,1,1
texts,1,1,0
cell,1,1,0
branded,1,0,0
mode,1,1,0
fazer,1,1,1
battery,1,1,0
bunda,1,1,1
dar,1,0,1
famous,1,1,0
dani,1,1,1
thomas,1,1,0
perez,1,1,1
rayon,1,0,1
curly,1,1,1
ativa,1,1,1
unbiological,1,1,1
widowed,1,1,0
loki,1,1,0
freed,1,1,0
saif,1,1,1
boyfriend,1,1,0
peu,1,1,1
vip,1,0,0
header,1,1,0
krazy,1,1,1
taip,1,1,1
aol,1,0,1
a,1,1,0
manu,1,1,1
ui,1,1,1
cu,1,1,0
clams,1,1,0
tanto,1,1,1
semalam,1,1,1
server,1,1,0
modem,1,1,1
keenan,1,1,1
oso,1,1,1
platelets,1,1,0
mari,1,1,0
inboxs,1,1,1
paketnya,1,1,1
naam,1,1,1
diesal,1,1,1
ordered,1,0,0
atom,1,0,0
ovo,1,1,1
llamo,1,1,1
peaches,1,0,0
relayed,1,1,0
hp,1,1,0
prego,1,1,1
sarai,1,1,1
racially,1,1,1
donc,1,1,1
explainable,1,1,0
precio,1,1,1
sigam,1,1,1
jonathan,1,1,0
araujo,1,1,1
exclusive,1,1,0
latest,1,1,0
maxes,1,1,0
bussy,1,1,1
backround,1,1,1
oscuro,1,1,1
militant,1,1,0
warnanya,1,1,1
chisme,1,1,1
nephew,1,1,1
penis,1,1,0
documentaries,1,1,0
abusive,1,1,0
boom,1,1,0
charger,1,1,0
bluetooth,1,1,1
jazmin,1,1,1
teddy,1,1,0
dermatitis,1,1,1
drew,1,0,0
jezzy,1,1,1
shanell,1,1,1
heny,1,1,1
knotted,1,1,0
sleeping,1,1,0
walking,1,1,0
loving,1,1,0
all,1,1,0
being,1,1,0
defiant,1,1,0
aubrey,1,1,1
amd,1,1,0
drept,1,1,1
increased,1,1,0
fina,1,1,1
continue,1,1,0
tonsils,1,1,0
ransom,1,1,0
uggs,1,1,1
island,1,0,1
constant,1,1,0
wontons,1,1,0
downing,1,1,0
deletin,1,1,1
ruffled,1,1,0
pummeled,1,1,0
swizz,1,1,1
playstation,1,1,1
rockstar,1,1,1
maleek,1,1,1
biscuts,1,1,1
ake,1,0,1
marquell,1,1,1
including,1,1,0
members,1,1,0
msging,1,1,1
bunny,1,1,0
keli,1,1,1
realty,1,1,0
walter,1,0,0
odette,1,1,1
twitterr,1,1,1
simple,1,1,0
jolly,1,1,0
berujung,1,1,1
tracker,1,1,1
keis,1,1,1
tevin,1,1,1
amorsito,1,1,1
preciosa,1,1,1
neicy,1,1,1
janessa,1,1,1
relation,1,1,0
mamp,1,1,1
abraham,1,1,0
skinned,1,1,0
bandcamp,1,1,1
vick,1,1,1
answered,1,1,0
jacky,1,1,1
rinsed,1,1,0
malasia,1,1,1
sauteed,1,1,0
confession,1,0,1
hai,1,1,1
tyasia,1,1,1
berbicara,1,1,1
mathieu,1,1,1
keshawn,1,1,1
awaited,1,0,0
rating,1,1,0
zyon,1,1,1
thix,1,1,1
frozen,1,1,0
reed,1,1,0
homii,1,1,1
ubs,1,1,1
families,1,1,0
duvall,1,1,1
beheadings,1,1,0
produced,1,1,0
gorgo,1,1,1
husband,1,1,0
affair,1,0,0
wizard,1,0,0
tardes,1,1,1
madres,1,1,1
reliable,1,1,0
slikk,1,1,1
menara,1,1,1
dropouts,1,1,0
induce,1,1,0
simon,1,1,0
connection,1,1,0
connectivity,1,1,1
transparency,1,0,0
boutchu,1,1,1
suggested,1,1,0
inauthentic,1,1,0
ringing,1,1,0
sewed,1,0,0
danner,1,1,1
malika,1,1,1
ore,1,1,1
repo,1,1,1
orda,1,1,1
parker,1,1,0
tasty,1,1,1
landing,1,1,0
rickey,1,1,1
referral,1,1,1
subscription,1,1,1
presale,1,1,1
reading,1,1,0
gogglebox,1,1,1
ravenswood,1,1,1
kissn,1,1,1
punto,1,1,1
breaking,1,1,0
amos,1,1,0
weas,1,1,1
compilations,1,0,0
seguir,1,1,1
craw,1,1,0
itc,1,1,1
lbh,1,1,1
striptease,1,1,0
coice,1,1,1
lastnight,1,1,1
lata,1,0,1
bits,1,1,0
urkin,1,1,1
awayy,1,1,1
ajai,1,1,1
drugged,1,1,0
rumple,1,1,0
randa,1,1,1
crisp,1,1,0
iced,1,1,0
yessica,1,1,1
ef,1,0,1
ahahahahah,1,1,1
wizdom,1,1,1
aji,1,1,1
bolu,1,1,1
lma,1,1,1
lw,1,1,1
disadvantages,1,1,0
lieutenants,1,1,0
timeliness,1,1,0
luv,1,1,1
kreek,1,1,1
minna,1,1,1
highland,1,1,0
jamaal,1,1,1
snaked,1,1,0
morbid,1,0,0
ecology,1,1,0
hunz,1,1,1
sharn,1,1,1
footprints,1,1,0
awake,1,1,0
am,1,1,0
buddys,1,1,0
passwrd,1,1,1
df,1,1,1
barney,1,1,1
bbqn,1,1,1
singular,1,1,0
angels,1,1,0
cryinq,1,1,1
anoyed,1,1,1
thraxx,1,1,1
zetta,1,1,1
bersibuk,1,1,1
olay,1,1,1
bergen,1,1,0
gvn,1,1,1
shima,1,1,1
consultation,1,1,0
refresh,1,1,0
swangin,1,1,1
cashin,1,1,1
